CAS #,Field #,Locality,County,Sex,Year,SL,CBL,PL,MSW,MW,ML,MFL,MA,RPL,SSI,RMW,CBL/SL
MAM 34731,RB 5341,Ano Nuevo Island,San Mateo,Male,1976,NA,289.27,124.02,155.3,143.47,NA,NA,NA,0.43,0.54,0.5,NA
MAM 34733,RB 5347,Ano Nuevo Island,San Mateo,Male,1979,NA,284.6,123.77,153.64,134.02,NA,NA,NA,0.43,0.54,0.47,NA
MAM 34732,RB 5344,Ano Nuevo Island,San Mateo,Male,1978,222.3,280.32,115.24,150.33,132.64,NA,NA,NA,0.41,0.54,0.47,NA
MAM 34723,RB 5254,"San Francisco, Ocean Beach",San Francisco,Male,2004,231,281.74,126.46,158.61,140,199.38,62.99,0.32,0.45,0.56,0.5,1.22
MAM 34724,RB 5258,"Berkeley, 0.5 miles south of University Ave., on rocks",Alameda,Male,2004,236,289.14,132.74,173.58,152.35,198.04,69.09,0.35,0.46,0.6,0.53,1.23
MAM 34722,RB 5251,"Pacifica, Linda Mar Beach",San Mateo,Male,2004,223.5,292.9,125.36,160.93,145.72,205.46,65.26,0.32,0.43,0.55,0.5,1.31
MAM 33100,RB 5292,Ano Nuevo State Reserve,San Mateo,Male,2004,244,295.99,123.63,169.17,145.69,204.82,67.68,0.33,0.42,0.57,0.49,1.21
MAM 33264,RB 5311,Ano Nuevo State Reserve,San Mateo,Male,2004,248,299.98,125.3,173.23,154.57,209.64,74.38,0.35,0.42,0.58,0.52,1.21
MAM 34726,RB 5309,"Point Reyes National Seashore, North Beach",Marin,Male,2004,256.5,296.16,125.98,178.35,157.41,205.44,76.71,0.37,0.43,0.6,0.53,1.15
MAM 33102,RB 5327,Ano Nuevo State Reserve,San Mateo,Male,2004,231,276.32,122.71,156.12,132.78,NA,NA,NA,0.44,0.56,0.48,1.2
MAM 33101,RB 5312,Ano Nuevo State Reserve,San Mateo,Male,2004,223.5,281.66,116.87,151.47,132.18,194.37,67.55,0.35,0.41,0.54,0.47,1.26
