CAS #,Field #,Locality,County,Sex,Year,SL,CBL,PL,MSW,MW,ML,MFL,MA,RPL,SSI,RMW,CBL/SL
MAM 26699,RB 2642,Ano Nuevo Point,San Mateo,Male,1978,223.5,282.51,95.84,161.34,139.22,NA,64.53,NA,0.34,0.57,0.49,NA
MAM 26097,RB 3476,Pacifica,San Mateo,Male,1989,248,296.61,122.61,168.1,158.63,215.33,56.17,0.26,0.41,0.57,0.53,1.2
MAM 26086,RB 3253,"San Francisco, Ocean Beach",San Francisco,Male,1985,239,279.7,118.59,142.04,125.61,189.14,61.15,0.32,0.42,0.51,0.45,1.17
MAM 26098,RB 3528,Half Moon Bay,San Mateo,Male,1990,253,296.94,127.32,173.33,158.1,213.04,59.63,0.28,0.43,0.58,0.53,1.17
MAM 26071,RB 1368,Ano Nuevo Creek Beach,San Mateo,Male,1969,244,288.81,120.03,157.82,154.44,204.03,68.95,0.34,0.42,0.55,0.53,NA
MAM 26072,RB 1602,Ano Nuevo Creek Beach,San Mateo,Male,1969,231,280.19,110.71,162.36,144.1,200.61,71.29,0.36,0.4,0.58,0.51,NA
MAM 26069,RB 3545,Ano Nuevo Island,San Mateo,Male,1990,222,289.35,117.07,170.16,154.18,202.33,75.04,0.37,0.4,0.59,0.53,1.3
MAM 26066,RB 3239,Ano Nuevo Creek Beach,San Mateo,Male,1984,216,279.84,NA,156.17,139.24,NA,63.76,NA,NA,0.56,0.5,1.3
MAM 26063,RB 3131,Ano Nuevo Point,San Mateo,Male,1983,246,287.41,NA,160.63,152.57,NA,63.99,NA,NA,0.56,0.53,1.17
MAM 26077,RB 2618,Franklin Point,San Mateo,Male,1978,NA,271.85,NA,157.61,148.14,NA,67.7,NA,NA,0.58,0.54,NA
MAM 26070,RB 873,Ano Nuevo Point,San Mateo,Male,1966,233.5,275.44,121.29,160,135.26,196.36,59.25,0.3,0.44,0.58,0.49,1.18
MAM 26067,RB 3507,Ano Nuevo Island,San Mateo,Male,1989,246,296.5,NA,172.77,151.95,211.03,59.79,0.28,NA,0.58,0.51,1.21
MAM 26062,RB 3011,Ano Nuevo Island,San Mateo,Male,1982,236,285.88,118.7,160.72,138.53,200.65,67.46,0.34,0.42,0.56,0.48,1.21
MAM 26052,RB 941,Ano Nuevo Island,San Mateo,Male,1966,224,286.3,NA,160.05,146.52,200.43,67.77,0.34,NA,0.56,0.51,NA
MAM 26056,RB 1904,Ano Nuevo Point,San Mateo,Male,1971,231,293.58,118.29,153.23,138.96,203.9,65.55,0.32,0.4,0.52,0.47,NA
MAM 26061,RB 2729,Franklin Point,San Mateo,Male,1979,236,296.99,127.19,164.99,145.62,193.74,66.38,0.34,0.43,0.56,0.49,NA
MAM 26060,RB 2545,Ano Nuevo Point,San Mateo,Male,1977,259,287.04,120.99,166.41,144.53,197.17,62.79,0.32,0.42,0.58,0.5,NA
MAM 26053,RB 1310,Ano Nuevo Creek Beach,San Mateo,Male,1968,NA,288.52,125.01,162.08,154.82,205.68,64.73,0.31,0.43,0.56,0.54,NA
MAM 26055,RB 1809,Ano Nuevo Point,San Mateo,Male,1970,231,271.98,113.29,153.16,140.41,185.52,63.72,0.34,0.42,0.56,0.52,NA
MAM 26045,RB 3496,"San Francisco, Fort Funston",San Francisco,Male,1989,233,275.09,113.22,163.21,147.95,190.05,68.67,0.36,0.41,0.59,0.54,1.18
MAM 26038,RB 1311,Ano Nuevo Point,San Mateo,Male,1968,251.5,306.19,NA,169.88,154.56,213.16,71.16,0.33,NA,0.55,0.5,NA
MAM 26050,RB 3605,Ano Nuevo Point,San Mateo,Male,1991,212,289.13,NA,155.8,146.63,NA,63.44,NA,NA,0.54,0.51,1.36
MAM 26049,RB 3599,Half Moon Bay,San Mateo,Male,1991,236,286.67,121.22,166.17,138.75,202.86,68.92,0.34,0.42,0.58,0.48,1.21
MAM 25996,RB 3641,Muir Beach,Marin,Male,1991,219,272.59,114.03,147.49,127.47,186.61,61.94,0.33,0.42,0.54,0.47,1.24
MAM 26025,RB 3412,Ano Nuevo Point,San Mateo,Male,1987,244,301.27,126.62,162.6,142.95,212.43,74.16,0.35,0.42,0.54,0.47,1.23
MAM 26004,RB 3981,Half Moon Bay,San Mateo,Male,1996,219,289.2,125.79,156.99,146.39,201.94,64.71,0.32,0.43,0.54,0.51,1.32
MAM 25957,RB 2856,Cape Mendocino,Humboldt,Male,1980,218.5,275.27,111.18,146.86,135.43,194,57.86,0.3,0.4,0.53,0.49,NA
MAM 25962,RB 3264,Ano Nuevo Point,San Mateo,Male,1985,NA,276.21,110.4,156.98,135.74,186.76,64.44,0.35,0.4,0.57,0.49,NA
MAM 25949,RB 3263,Ano Nuevo Point,San Mateo,Male,1985,NA,281,NA,154.25,146.88,NA,64.94,NA,NA,0.55,0.52,NA
MAM 25916,RB 3411,Ano Nuevo Creek,San Mateo,Male,1987,222,281.69,119.07,161.35,142.65,197.21,62.61,0.32,0.42,0.57,0.51,1.27
MAM 25942,RB 2478,Ano Nuevo Island,San Mateo,Male,1976,226,284.41,119.94,162.38,147.23,196.56,67.47,0.34,0.42,0.57,0.52,NA
MAM 25931,RB 2933,Ano Nuevo Point,San Mateo,Male,1981,239,288.78,NA,160.75,147.97,NA,71.08,NA,NA,0.56,0.51,1.21
MAM 25926,RB 2857,Patricks Point,Humboldt,Male,1980,221,294.53,134.4,168.63,153.61,209.69,78.53,0.37,0.46,0.57,0.52,NA
MAM 25895,RB 2505,Ano Nuevo Point,San Mateo,Male,1977,244,275.25,NA,156.73,145.05,NA,67.67,NA,NA,0.57,0.53,NA
MAM 25886,RB 2841,Ano Nuevo Point,San Mateo,Male,1980,225,294.42,NA,158.48,141.91,NA,72.84,NA,NA,0.54,0.48,NA
MAM 25889,RB 2939,Ano Nuevo Island,San Mateo,Male,1981,219,279.66,NA,157.32,143.05,NA,59.43,NA,NA,0.56,0.51,1.28
MAM 25989,RB 2390,Ano Nuevo Island,San Mateo,Male,1976,NA,273.14,115.94,149.36,135.12,184.97,62.37,0.34,0.42,0.55,0.49,NA
MAM 25882,RB 2533,Waddell Creek Beach,Santa Cruz,Male,1977,243,279.74,NA,157.88,137.86,NA,69.93,NA,NA,0.56,0.49,NA
MAM 25938,RB 1459,Ano Nuevo Island,San Mateo,Male,1969,228.5,278.07,114.88,151.13,137.43,191.62,65.03,0.34,0.41,0.54,0.49,NA
MAM 25806,RB 3829,Tennessee Valley Cove,Marin,Male,1994,232,284.45,120.2,170.43,151.05,204.71,69.57,0.34,0.42,0.6,0.53,1.23
MAM 25890,RB 3244,Ano Nuevo Island,San Mateo,Male,1984,219,278.86,NA,158.48,144.48,200.18,68.2,0.34,NA,0.57,0.52,1.27
MAM 25785,RB 2720,Cape Mendocino,Mendocino,Male,1979,237.5,296.89,124.31,153.27,135.28,209.23,69.53,0.33,0.42,0.52,0.46,NA
MAM 25733,RB 4219,Ano Nuevo Island,San Mateo,Male,1997,246,290.59,119.03,167.7,147.88,203.63,75.09,0.37,0.41,0.58,0.51,1.18
MAM 25715,RB 2079,Ano Nuevo Point,San Mateo,Male,1972,246.5,276.4,119.76,154.54,131.29,197.72,69.76,0.35,0.43,0.56,0.48,NA
MAM 25840,RB 3865,Point Reyes national Seashore,Marin,Male,1994,231,285.04,117.83,145.88,132.56,200.66,59.15,0.29,0.41,0.51,0.47,1.23
MAM 25829,RB 3793,Ano Nuevo Point,San Mateo,Male,1993,225,285.24,NA,154.91,145.5,199.59,68.66,0.34,NA,0.54,0.51,1.27
MAM 25821,RB 3461,Pescadero Creek Beach,San Mateo,Male,1988,236,287.08,119.64,149.19,133.49,192.1,64.92,0.34,0.42,0.52,0.46,1.22
MAM 25818,RB 3440,Ano Nuevo Point,San Mateo,Male,1988,217,286.65,130.59,155.52,133.26,200.02,62.62,0.31,0.46,0.54,0.46,1.32
MAM 25808,RB 4291,Pescadero State Beach,San Mateo,Male,1998,231,290.82,128.49,154.99,141.78,202.54,57.79,0.29,0.44,0.53,0.49,1.26
MAM 25727,RB 4177,Strawberry Spit,Marin,Male,1997,244,296.4,116.22,161.57,144.49,201.69,62.41,0.31,0.39,0.55,0.49,1.21
MAM 25718,RB 2476,Ano Nuevo Island,San Mateo,Male,1976,NA,282.32,120.96,153.62,132.75,190.93,64.42,0.34,0.43,0.54,0.47,NA
MAM 25711,RB 4998,"San Francisco, Baker Beach",San Francisco,Male,1998,216,270.56,111.29,145.21,128.24,182.27,58.14,0.32,0.41,0.54,0.47,1.25
MAM 25907,RB 2989,Ano Nuevo Creek,San Mateo,Male,1982,259,282.58,113.87,162.79,153.16,197.94,74.6,0.38,0.4,0.58,0.54,1.09
MAM 25422,RB 4778,Doran Beach,Sonoma,Male,2001,216,270.69,111.75,154.46,138.95,185.36,61.66,0.33,0.41,0.57,0.51,1.25
MAM 34661,RB 2526,Ano Nuevo Point area,San Mateo,Male,1977,248.9,279.79,119.31,167.62,146.27,NA,NA,NA,0.43,0.6,0.52,NA
MAM 34664,RB 2652,Franklin Point,San Mateo,Male,1978,233.7,285.5,118.42,159.35,141.97,199.01,63.62,0.32,0.41,0.56,0.5,NA
MAM 34660,RB 2517,Ano Nuevo Point area,San Mateo,Male,1977,238.8,282.45,120.49,151.23,137.43,191.25,54.86,0.29,0.43,0.54,0.49,NA
MAM 34662,RB 2559,Ano Nuevo Point area,San Mateo,Male,1977,251.5,298.03,127.39,166.58,152.42,208.82,77.41,0.37,0.43,0.56,0.51,NA
MAM 34663,RB 2564,Ano Nuevo Point area,San Mateo,Male,1977,226.1,295.76,NA,166.4,147.24,NA,NA,NA,NA,0.56,0.5,NA
MAM 25346,RB 4760,"Mouth of Russian River opposite Jenner, Goat Rock State Beach",Sonoma,Male,2001,224,288.89,NA,172.54,149.19,NA,73.93,NA,NA,0.6,0.52,1.29
MAM 25276,RB 4735,Golden Gate National Recreation Area,San Francisco,Male,2001,229,292.35,131.12,154.92,144.77,203.63,61.27,0.3,0.45,0.53,0.5,1.28
MAM 34656,RB 2398,Gold Bluffs Beach,Humboldt,Male,1976,228.6,285.7,126.05,158.63,141.88,198.26,67.17,0.34,0.44,0.56,0.5,NA
MAM 34658,RB 2454,Ano Nuevo Creek,San Mateo,Male,1976,233.7,286.9,119.24,152.56,126.66,NA,57.99,NA,0.42,0.53,0.44,NA
MAM 34659,RB 2506,Montara State Beach,San Mateo,Male,1977,251.5,NA,122.94,162.7,144.82,200.44,75.39,0.38,NA,NA,NA,NA
MAM 33075,RB 2225,Ano Nuevo Point,San Mateo,Male,1974,226.1,284.14,113.24,156.48,137.72,184.28,60.62,0.33,0.4,0.55,0.48,NA
MAM 34654,RB 2147,Waddell Beach,Santa Cruz,Male,1973,238.8,284.02,109.53,148.9,130.76,175.51,55.36,0.32,0.39,0.52,0.46,NA
MAM 33072,RB 2071,Ano Nuevo Point,San Mateo,Male,1972,240,281.18,116.15,160.74,140.99,200.72,68.87,0.34,0.41,0.57,0.5,NA
MAM 34653,RB 2094,Waddell Beach,Santa Cruz,Male,1972,223.5,270.38,111.72,153.45,134.45,191.15,65.15,0.34,0.41,0.57,0.5,NA
MAM 33074,RB 2222,Ano Nuevo Island,San Mateo,Male,1974,226.1,290.61,127.07,150.62,136.52,199.74,66.76,0.33,0.44,0.52,0.47,NA
MAM 33071,RB 1977,Ano Nuevo Island,San Mateo,Male,1972,NA,293.99,116.38,160.37,145.42,NA,NA,NA,0.4,0.55,0.49,NA
MAM 33073,RB 2073,Ano Nuevo Point,San Mateo,Male,1972,259.1,287.65,121.21,156.7,146.19,175.99,60.86,0.35,0.42,0.54,0.51,NA
MAM 33070,RB 1956,Ano Nuevo Point,San Mateo,Male,1972,NA,288.53,125.82,166.31,142.62,204.1,66.57,0.33,0.44,0.58,0.49,NA
MAM 34652,RB 1861,Ano Nuevo Point,San Mateo,Male,1971,212.1,288.18,124.33,152.17,139.15,195.71,60.39,0.31,0.43,0.53,0.48,NA
MAM 33068,RB 1757,Ano Nuevo Point,San Mateo,Male,1970,246.4,284.7,NA,159.71,137.25,193.41,63,0.33,NA,0.56,0.48,NA
MAM 33069,RB 1903,Ano Nuevo Point,San Mateo,Male,1971,212.1,271.86,109.33,145.92,135.34,185.87,65.38,0.35,0.4,0.54,0.5,NA
MAM 33067,RB 1457,Ano Nuevo Point,San Mateo,Male,1969,218.4,280.56,119.82,157.83,140.15,191.34,49.71,0.26,0.43,0.56,0.5,NA
MAM 34650,RB 1782,Gazos Creek Beach,San Mateo,Male,1970,246.4,281.37,120.55,152.88,141.67,189.63,58.72,0.31,0.43,0.54,0.5,NA
MAM 34651,RB 1810,Ano Nuevo Point,San Mateo,Male,1970,219.7,278.49,119.6,151.64,134.19,198,64.29,0.32,0.43,0.54,0.48,NA
MAM 33065,RB 1455,Ano Nuevo Point,San Mateo,Male,1968,274.7,303.76,128.02,169.32,161.28,211.41,72.57,0.34,0.42,0.56,0.53,NA
MAM 33066,RB 1456,Ano Nuevo Point,San Mateo,Male,1969,229.9,276.5,116.29,160.48,142.76,194.6,67.13,0.34,0.42,0.58,0.52,NA
MAM 34648,RB 1709,Ano Nuevo Island,San Mateo,Male,1970,222.3,275.82,121.45,162.74,146.61,196.01,64.1,0.33,0.44,0.59,0.53,NA
MAM 34649,RB 1733,Ano Nuevo Island ,San Mateo,Male,1970,231.1,297.22,128.25,162.8,150.61,203.45,66.59,0.33,0.43,0.55,0.51,NA
MAM 33088,RB 4142,"Half Moon Bay, Roosevelt State Beach",San Mateo,Male,1997,236,287.11,115.14,157.65,140.51,174.8,61.85,0.35,0.4,0.55,0.49,1.22
MAM 34687,RB 4158,Point Reyes National Seashore,Marin,Male,1997,231,297.98,131.11,169.97,151.3,NA,NA,NA,0.44,0.57,0.51,1.29
MAM 34685,RB 4066,Gazos Creek. Halfway between Gazos Creek and Franklin Point,San Mateo,Male,1996,230,276.25,109.52,150.15,136.64,187.79,61.64,0.33,0.4,0.54,0.49,1.2
MAM 34684,RB 4049,Point Reyes National Seashore,Marin,Male,1996,NA,286.04,117.22,156.99,142.84,NA,NA,NA,0.41,0.55,0.5,NA
MAM 33085,RB 4048,Half Moon Bay,San Mateo,Male,1996,244,290.37,117.49,168.72,153.17,208.44,61.23,0.29,0.4,0.58,0.53,1.19
MAM 33086,RB 4058,Ano Nuevo Island,San Mateo,Male,1996,221,283.71,121.29,163.69,141.5,199.24,66.36,0.33,0.43,0.58,0.5,1.28
MAM 34686,RB 4115,"China Beach, San Francisco",China Beach,Male,1997,220,273.79,107.33,148.05,132.88,189.23,60.56,0.32,0.39,0.54,0.49,1.24
MAM 33083,RB 3857,Ano Nuevo Island,San Mateo,Male,1994,218,289.39,113.94,167.37,142.54,200.94,70.11,0.35,0.39,0.58,0.49,1.33
MAM 34682,RB 3834,"Bolinas, Brighton beach",Marin,Male,1994,245,283.52,119.79,155.88,141.9,202.96,68.8,0.34,0.42,0.55,0.5,1.16
MAM 34679,RB 3844,"Stinson Beach, on beach opposite to #184 Seadrift Rd.",Marin,Male,1994,225,275.51,117.4,141.98,127.98,193.53,59.15,0.31,0.43,0.52,0.46,1.22
MAM 34683,RB 3929,Point Reyes National Seashore; Kehoe Beach,Marin,Male,1995,246.5,294.37,126.4,166.73,148.12,NA,NA,NA,0.43,0.57,0.5,1.19
MAM 34677,RB 3831,"San Francisco, Fort Funston Beach, 0.5 mi. S of Sloat Blvd.",San Francisco,Male,1994,249,290.06,124.4,167.2,154.91,202.41,68.38,0.34,0.43,0.58,0.53,1.16
MAM 34680,RB 3893,"Golden Gate Bridge Beach, Fort Scott Beach, San Francisco",San Francisco,Male,1995,229,293.41,119.47,165.23,140.06,202.98,75.61,0.37,0.41,0.56,0.48,1.28
MAM 33082,RB 3840,Ano Nuevo Point,San Mateo,Male,1994,227,283.22,124.31,165.87,150.53,NA,NA,NA,0.44,0.59,0.53,1.25
MAM 34678,RB 3833,"Golden Gate National Recreation Area, Fort Cronkhite, Rodeo Beach",Marin,Male,1994,223.5,284.73,118.43,173.49,147.49,NA,NA,NA,0.42,0.61,0.52,1.27
MAM 33084,RB 3861,"Pescadero State Beach, just south of Pescadero Creek",San Mateo,Male,1994,234,291.81,128.14,162.41,151.55,NA,NA,NA,0.44,0.56,0.52,1.25
MAM 34676,RB 3828,"Golden Gate National Recreation Area, Kirby Cove",Marin,Male,1994,252,293.05,119.97,162.42,141.42,198.2,68.48,0.35,0.41,0.55,0.48,1.16
MAM 34672,RB 3736,"Point Reyes National Seashore, Drake's Beach",Marin,Male,1993,252,298.99,133.15,180.15,160.48,221.66,68.05,0.31,0.45,0.6,0.54,1.19
MAM 34673,RB 3774,Fort Funston Beach,San Francisco,Male,1993,248,291.94,120.29,167.27,146.47,208.32,73.13,0.35,0.41,0.57,0.5,1.18
MAM 33081,RB 3792,Ano Nuevo Point,San Mateo,Male,1993,246,283.24,121.1,171.08,161.52,202.61,76.06,0.38,0.43,0.6,0.57,1.15
MAM 34674,RB 3776,"Golden Gate Bridge Beach, Fort Scott Beach, San Francisco",San Francisco,Male,1993,231,284.08,118.52,155.94,135.76,195.16,63.31,0.32,0.42,0.55,0.48,1.23
MAM 33080,RB 3780,"Half Moon Bay, Pillar Point Harbor",San Mateo,Male,1993,237,281.55,122.58,168.97,153.96,201.8,69.09,0.34,0.44,0.6,0.55,1.19
MAM 34675,RB 3787,"San Francisco, Golden Gate National Recreation Area Ocean Beach",San Francisco,Male,1993,240,302.79,130.83,174.86,153.67,211.29,76.26,0.36,0.43,0.58,0.51,1.26
MAM 34669,RB 2990,Gazos Creek Beach,San Mateo,Male,1982,245,275.51,110.38,156.56,137.27,194.43,69.73,0.36,0.4,0.57,0.5,1.12
MAM 33078,RB 3130,Gazos Creek,San Mateo,Male,1983,234,293.73,121.5,164.16,144.43,207.51,76.72,0.37,0.41,0.56,0.49,1.26
MAM 34670,RB 3292,"San Francisco, Ocean Beach",San Francisco,Male,1985,256.5,294.25,123.63,167.7,147.11,203.9,72.12,0.35,0.42,0.57,0.5,1.15
MAM 26149,RB 3119,Ano Nuevo Point,San Mateo,Male,1983,216,271.43,110.04,153.21,143.42,187.25,57.77,0.31,0.41,0.56,0.53,1.26
MAM 33079,RB 3153,Ano Nuevo Point,San Mateo,Male,1983,213,270.06,121.26,148.11,127.66,186.47,59.91,0.32,0.45,0.55,0.47,1.27
MAM 33076,RB 2914,Ano Nuevo Island,San Mateo,Male,1981,231,273.67,111.39,154.62,140.88,194.75,65.95,0.34,0.41,0.56,0.51,1.18
MAM 34703,RB 4952,Stinson Beach,Marin,Male,2002,264,295.38,125.22,171.36,150.42,212.18,71.56,0.34,0.42,0.58,0.51,1.12
MAM 33089,RB 4939,Pescadero State Beach,San Mateo,Male,2002,233.5,296.16,127.05,166.28,153.98,205.37,79.22,0.39,0.43,0.56,0.52,1.27
MAM 34705,RB 4955,"El Granada, Surfers Beach",San Mateo,Male,2002,211,277.41,113.31,136.36,121.93,186.74,60.85,0.33,0.41,0.49,0.44,1.31
MAM 34701,RB 4941,"Point Reyes National Seashore, Drake's Beach",Marin,Male,2002,239,283.93,115.4,175.31,156.9,206.57,75.61,0.37,0.41,0.62,0.55,1.19
MAM 34704,RB 4954,"Golden Gate National Recreation Area, Kirby Cove",Marin,Male,2002,214,285.03,122.09,146.22,138.04,188.69,59.93,0.32,0.43,0.51,0.48,1.33
MAM 34700,RB 4935,"GGNRA, Steep Ravine Beach",Marin,Male,2002,226,298.55,121.85,179.28,156.88,208.13,76.08,0.37,0.41,0.6,0.53,1.32
